"id","name","parent_id","created_at","updated_at","sort_order","latitude","longitude"
90,"Uruguay",27,"2014-12-06 20:15:10.160777","2014-12-06 20:15:10.160777",280,-33,-56
270,"African Union (AU)",41,"2014-12-06 20:15:12.860506","2014-12-06 20:15:12.860506",3,,
210,"Turkey",35,"2014-12-06 20:15:11.64414","2014-12-06 20:15:11.64414",268,39,35
211,"United Arab Emirates",35,"2014-12-06 20:15:11.661741","2014-12-06 20:15:11.661741",274,23.75,54.5
91,"Venezuela",27,"2014-12-06 20:15:10.171992","2014-12-06 20:15:10.171992",284,8,-66
212,"Yemen",35,"2014-12-06 20:15:11.671835","2014-12-06 20:15:11.671835",296,15.5,47.5
213,"Afghanistan",36,"2014-12-06 20:15:11.681833","2014-12-06 20:15:11.681833",1,33,66
92,"Andorra",28,"2014-12-06 20:15:10.181873","2014-12-06 20:15:10.181873",7,42.55,1.58333
93,"Austria",28,"2014-12-06 20:15:10.192325","2014-12-06 20:15:10.192325",19,47.33333,13.33333
271,"Arab League",41,"2014-12-06 20:15:12.878545","2014-12-06 20:15:12.878545",11,,
94,"Belgium",28,"2014-12-06 20:15:10.20399","2014-12-06 20:15:10.20399",26,50.75,4.5
95,"Denmark",28,"2014-12-06 20:15:10.215617","2014-12-06 20:15:10.215617",69,56,10
24,"Asia",,"2014-12-06 20:15:09.421439","2014-12-06 20:15:09.421439",15,,
272,"Asia-Pacific Economic Cooperation (APEC)",41,"2014-12-06 20:15:12.896682","2014-12-06 20:15:12.896682",16,,
273,"Association of Southeast Asian Nations (ASEAN)",41,"2014-12-06 20:15:12.914899","2014-12-06 20:15:12.914899",17,,
214,"Armenia",36,"2014-12-06 20:15:11.692544","2014-12-06 20:15:11.692544",13,40.25,45
96,"Finland",28,"2014-12-06 20:15:10.226637","2014-12-06 20:15:10.226637",87,64,26
215,"Azerbaijan",36,"2014-12-06 20:15:11.703043","2014-12-06 20:15:11.703043",20,40.5,47.5
97,"France",28,"2014-12-06 20:15:10.237681","2014-12-06 20:15:10.237681",89,46,2
216,"Georgia",36,"2014-12-06 20:15:11.717363","2014-12-06 20:15:11.717363",93,41.99998,43.4999
217,"Kazakhstan",36,"2014-12-06 20:15:11.736087","2014-12-06 20:15:11.736087",136,48,68
98,"Germany",28,"2014-12-06 20:15:10.248748","2014-12-06 20:15:10.248748",94,51.5,10.5
218,"Kyrgyzstan",36,"2014-12-06 20:15:11.747345","2014-12-06 20:15:11.747345",140,41.5,75
99,"Greece",28,"2014-12-06 20:15:10.259628","2014-12-06 20:15:10.259628",96,39,22
100,"Iceland",28,"2014-12-06 20:15:10.271102","2014-12-06 20:15:10.271102",111,65,-18
219,"Mongolia",36,"2014-12-06 20:15:11.762089","2014-12-06 20:15:11.762089",167,46,105
220,"Tajikistan",36,"2014-12-06 20:15:11.781665","2014-12-06 20:15:11.781665",257,39,71
101,"Ireland",28,"2014-12-06 20:15:10.282249","2014-12-06 20:15:10.282249",130,53,-8
221,"Turkmenistan",36,"2014-12-06 20:15:11.792859","2014-12-06 20:15:11.792859",269,39.75,59.66667
222,"Uzbekistan",36,"2014-12-06 20:15:11.803637","2014-12-06 20:15:11.803637",281,41.66667,63.83333
223,"China",37,"2014-12-06 20:15:11.814089","2014-12-06 20:15:11.814089",52,35,105
224,"Hong Kong",37,"2014-12-06 20:15:11.828627","2014-12-06 20:15:11.828627",109,22.27832,114.17469
225,"Japan",37,"2014-12-06 20:15:11.847225","2014-12-06 20:15:11.847225",134,35.68536,139.75309
274,"Caribbean Community and Common Market (CARICOM)",41,"2014-12-06 20:15:12.932785","2014-12-06 20:15:12.932785",43,,
102,"Italy",28,"2014-12-06 20:15:10.293389","2014-12-06 20:15:10.293389",132,42.83333,12.83333
32,"Central Africa",23,"2014-12-06 20:15:09.585462","2014-12-06 20:15:09.585462",45,,
226,"Macau",37,"2014-12-06 20:15:11.861834","2014-12-06 20:15:11.861834",150,22.20056,113.54611
26,"Central America & Caribbean",21,"2014-12-06 20:15:09.526505","2014-12-06 20:15:09.526505",47,,
29,"Central & Eastern Europe",22,"2014-12-06 20:15:09.556288","2014-12-06 20:15:09.556288",48,,
36,"Central & Western Asia",24,"2014-12-06 20:15:09.623865","2014-12-06 20:15:09.623865",49,,
227,"North Korea",37,"2014-12-06 20:15:11.879435","2014-12-06 20:15:11.879435",189,40,127
103,"Liechtenstein",28,"2014-12-06 20:15:10.304416","2014-12-06 20:15:10.304416",147,47.16667,9.53333
104,"Luxembourg",28,"2014-12-06 20:15:10.314943","2014-12-06 20:15:10.314943",149,49.75,6.16667
275,"Common Market for Eastern and Southern Africa (COMESA)",41,"2014-12-06 20:15:12.951413","2014-12-06 20:15:12.951413",54,,
277,"Commonwealth of Independent States (CIS)",41,"2014-12-06 20:15:12.987267","2014-12-06 20:15:12.987267",55,,
228,"South Korea",37,"2014-12-06 20:15:11.894869","2014-12-06 20:15:11.894869",245,36.5,127.75
229,"Taiwan",37,"2014-12-06 20:15:11.913547","2014-12-06 20:15:11.913547",256,24,121
230,"Tibet",37,"2014-12-06 20:15:11.928338","2014-12-06 20:15:11.928338",263,31.66667,88
105,"Malta",28,"2014-12-06 20:15:10.32653","2014-12-06 20:15:10.32653",157,35.91667,14.43333
231,"Bangladesh",38,"2014-12-06 20:15:11.949965","2014-12-06 20:15:11.949965",23,24,90
278,"Council of Europe",41,"2014-12-06 20:15:13.0054","2014-12-06 20:15:13.0054",62,,
232,"Bhutan",38,"2014-12-06 20:15:11.970976","2014-12-06 20:15:11.970976",30,27.5,90.5
106,"Monaco",28,"2014-12-06 20:15:10.337889","2014-12-06 20:15:10.337889",166,43.73333,7.41667
107,"Netherlands",28,"2014-12-06 20:15:10.349404","2014-12-06 20:15:10.349404",176,52.25,5.75
233,"India",38,"2014-12-06 20:15:11.989547","2014-12-06 20:15:11.989547",113,22,79
234,"Maldives",38,"2014-12-06 20:15:12.000675","2014-12-06 20:15:12.000675",155,3.2,73
235,"Nepal",38,"2014-12-06 20:15:12.015675","2014-12-06 20:15:12.015675",175,28,84
236,"Pakistan",38,"2014-12-06 20:15:12.037094","2014-12-06 20:15:12.037094",198,30,70
237,"Sri Lanka",38,"2014-12-06 20:15:12.059517","2014-12-06 20:15:12.059517",248,7.75,80.75
108,"Norway",28,"2014-12-06 20:15:10.360434","2014-12-06 20:15:10.360434",190,62,10
109,"Portugal",28,"2014-12-06 20:15:10.370591","2014-12-06 20:15:10.370591",208,39.6945,-8.13057
33,"East Africa",23,"2014-12-06 20:15:09.595268","2014-12-06 20:15:09.595268",73,,
37,"East Asia",24,"2014-12-06 20:15:09.633482","2014-12-06 20:15:09.633482",74,,
279,"Economic Community of West African States (ECOWAS)",41,"2014-12-06 20:15:13.023628","2014-12-06 20:15:13.023628",76,,
110,"San Marino",28,"2014-12-06 20:15:10.380238","2014-12-06 20:15:10.380238",222,43.93667,12.44639
238,"Brunei",39,"2014-12-06 20:15:12.082193","2014-12-06 20:15:12.082193",35,4.5,114.66667
111,"Scotland",28,"2014-12-06 20:15:10.390028","2014-12-06 20:15:10.390028",225,56,-4
239,"Cambodia",39,"2014-12-06 20:15:12.103677","2014-12-06 20:15:12.103677",39,13,105
240,"East Timor",39,"2014-12-06 20:15:12.125854","2014-12-06 20:15:12.125854",75,-8.83333,125.75
241,"Indonesia",39,"2014-12-06 20:15:12.147185","2014-12-06 20:15:12.147185",114,-5,120
242,"Laos",39,"2014-12-06 20:15:12.327708","2014-12-06 20:15:12.327708",141,18,105
112,"Spain",28,"2014-12-06 20:15:10.400733","2014-12-06 20:15:10.400733",247,40,-4
280,"European Free Trade Association (EFTA)",41,"2014-12-06 20:15:13.041438","2014-12-06 20:15:13.041438",85,,
243,"Malaysia",39,"2014-12-06 20:15:12.349273","2014-12-06 20:15:12.349273",154,2.5,112.5
302,"Food and Agriculture Organization of the United Nations (FAO)",41,"2014-12-06 20:15:13.430487","2014-12-06 20:15:13.430487",88,,
244,"Myanmar (Burma)",39,"2014-12-06 20:15:12.370593","2014-12-06 20:15:12.370593",172,21,96
245,"Philippines",39,"2014-12-06 20:15:12.390935","2014-12-06 20:15:12.390935",205,13,122
246,"Singapore",39,"2014-12-06 20:15:12.41089","2014-12-06 20:15:12.41089",231,1.28967,103.85007
247,"Thailand",39,"2014-12-06 20:15:12.430601","2014-12-06 20:15:12.430601",259,15.5,101
248,"Vietnam",39,"2014-12-06 20:15:12.450463","2014-12-06 20:15:12.450463",285,16.16667,107.83333
249,"Australia",40,"2014-12-06 20:15:12.469906","2014-12-06 20:15:12.469906",18,-25,135
250,"Cook Islands",40,"2014-12-06 20:15:12.489578","2014-12-06 20:15:12.489578",59,-21.24842,-159.78516
42,"Canada",25,"2014-12-06 20:15:09.680864","2014-12-06 20:15:09.680864",41,60.10867,-113.64258
282,"Group of Seven/Group of Eight",41,"2014-12-06 20:15:13.07739","2014-12-06 20:15:13.07739",98,,
283,"Group of Twenty",41,"2014-12-06 20:15:13.094962","2014-12-06 20:15:13.094962",99,,
284,"Gulf Cooperation Council (GCC)",41,"2014-12-06 20:15:13.111942","2014-12-06 20:15:13.111942",105,,
113,"Sweden",28,"2014-12-06 20:15:10.411548","2014-12-06 20:15:10.411548",252,62,15
114,"Switzerland",28,"2014-12-06 20:15:10.421563","2014-12-06 20:15:10.421563",253,47.00016,8.01427
251,"Fiji",40,"2014-12-06 20:15:12.508923","2014-12-06 20:15:12.508923",86,-18,178
252,"Guam",40,"2014-12-06 20:15:12.528372","2014-12-06 20:15:12.528372",101,13.47861,144.81834
41,"IGOs",,"2014-12-06 20:15:09.671947","2014-12-06 20:15:09.671947",112,,
316,"International Atomic Energy Agency",41,"2014-12-06 20:15:13.599201","2014-12-06 20:15:13.599201",115,,
303,"International Bank for Reconstrution and Development (IBRD)",41,"2014-12-06 20:15:13.448928","2014-12-06 20:15:13.448928",116,,
304,"International Civil Aviation Organization (ICAO)",41,"2014-12-06 20:15:13.466967","2014-12-06 20:15:13.466967",117,,
285,"International Criminal Court (ICC)",41,"2014-12-06 20:15:13.128504","2014-12-06 20:15:13.128504",118,,
305,"International Development Association (IDA)",41,"2014-12-06 20:15:13.484336","2014-12-06 20:15:13.484336",119,,
286,"International Energy Agency (IEA)",41,"2014-12-06 20:15:13.145173","2014-12-06 20:15:13.145173",120,,
306,"International Finance Corporation (IFC)",41,"2014-12-06 20:15:13.498552","2014-12-06 20:15:13.498552",121,,
307,"International Fund for Agricultural Development (IFAD)",41,"2014-12-06 20:15:13.509102","2014-12-06 20:15:13.509102",122,,
308,"International Labour Organization (ILO)",41,"2014-12-06 20:15:13.51915","2014-12-06 20:15:13.51915",123,,
309,"International Maritime Organization (IMO)",41,"2014-12-06 20:15:13.529063","2014-12-06 20:15:13.529063",124,,
310,"International Monetary Fund (IMF)",41,"2014-12-06 20:15:13.539257","2014-12-06 20:15:13.539257",125,,
287,"International Organization for Migration (IOM)",41,"2014-12-06 20:15:13.162462","2014-12-06 20:15:13.162462",126,,
311,"International Telecommunication Union (ITU)",41,"2014-12-06 20:15:13.549221","2014-12-06 20:15:13.549221",127,,
253,"Kiribati",40,"2014-12-06 20:15:12.553578","2014-12-06 20:15:12.553578",138,1.421,172.984
254,"Marshall Islands",40,"2014-12-06 20:15:12.572427","2014-12-06 20:15:12.572427",158,7.113,171.236
255,"Micronesia",40,"2014-12-06 20:15:12.591028","2014-12-06 20:15:12.591028",163,6.924,158.162
256,"Nauru",40,"2014-12-06 20:15:12.609228","2014-12-06 20:15:12.609228",174,-0.517,166.933
257,"New Caledonia",40,"2014-12-06 20:15:12.627798","2014-12-06 20:15:12.627798",178,-21.5,165.5
115,"United Kingdom",28,"2014-12-06 20:15:10.431349","2014-12-06 20:15:10.431349",275,54.75844,-2.69531
258,"New Zealand",40,"2014-12-06 20:15:12.645729","2014-12-06 20:15:12.645729",179,-42,174
259,"Niue",40,"2014-12-06 20:15:12.662736","2014-12-06 20:15:12.662736",183,-19.03333,-169.86667
260,"Northern Mariana Islands",40,"2014-12-06 20:15:12.676524","2014-12-06 20:15:12.676524",188,15.214,145.756
261,"Palau",40,"2014-12-06 20:15:12.694936","2014-12-06 20:15:12.694936",199,7.503,134.621
262,"Papua New Guinea",40,"2014-12-06 20:15:12.71293","2014-12-06 20:15:12.71293",202,-6,147
263,"Pitcairn",40,"2014-12-06 20:15:12.730946","2014-12-06 20:15:12.730946",206,-25.06667,-130.1
264,"Samoa",40,"2014-12-06 20:15:12.749183","2014-12-06 20:15:12.749183",221,-13.8,-172.13333
265,"Solomon Islands",40,"2014-12-06 20:15:12.767604","2014-12-06 20:15:12.767604",234,-8,159
266,"Tahiti",40,"2014-12-06 20:15:12.787639","2014-12-06 20:15:12.787639",255,-17.6486,-149.42951
267,"Tonga",40,"2014-12-06 20:15:12.805766","2014-12-06 20:15:12.805766",265,-20,-175
268,"Tuvalu",40,"2014-12-06 20:15:12.824318","2014-12-06 20:15:12.824318",271,-8.51719,179.14478
269,"Vanuatu",40,"2014-12-06 20:15:12.842453","2014-12-06 20:15:12.842453",282,-16,167
124,"Cyprus (North)",29,"2014-12-06 20:15:10.518494","2014-12-06 20:15:10.518494",67,35.253375,33.699404
116,"Vatican",28,"2014-12-06 20:15:10.441091","2014-12-06 20:15:10.441091",283,41.90225,12.4533
117,"Wales",28,"2014-12-06 20:15:10.450816","2014-12-06 20:15:10.450816",288,52.5,-3.5
35,"Middle East",,"2014-12-06 20:15:09.614865","2014-12-06 20:15:09.614865",164,,
118,"Albania",29,"2014-12-06 20:15:10.460514","2014-12-06 20:15:10.460514",4,41,20
119,"Belarus",29,"2014-12-06 20:15:10.469941","2014-12-06 20:15:10.469941",25,53,28
120,"Bosnia and Herzegovina",29,"2014-12-06 20:15:10.479816","2014-12-06 20:15:10.479816",32,44.25,17.83333
288,"Nonaligned Movement",41,"2014-12-06 20:15:13.179907","2014-12-06 20:15:13.179907",184,,
30,"North Africa",23,"2014-12-06 20:15:09.566225","2014-12-06 20:15:09.566225",185,,
25,"North America",21,"2014-12-06 20:15:09.514894","2014-12-06 20:15:09.514894",186,,
289,"North Atlantic Treaty Organization (NATO)",41,"2014-12-06 20:15:13.197712","2014-12-06 20:15:13.197712",187,,
290,"Organization for Economic Cooperation and Development (OECD)",41,"2014-12-06 20:15:13.214608","2014-12-06 20:15:13.214608",192,,
291,"Organization for Security and Cooperation in Europe (OSCE)",41,"2014-12-06 20:15:13.231798","2014-12-06 20:15:13.231798",193,,
292,"Organization of American States (OAS)",41,"2014-12-06 20:15:13.249439","2014-12-06 20:15:13.249439",194,,
293,"Organization of the Islamic Conference (OIC)",41,"2014-12-06 20:15:13.267778","2014-12-06 20:15:13.267778",195,,
294,"Organization of the Petroleum Exporting Countries (OPEC)",41,"2014-12-06 20:15:13.285609","2014-12-06 20:15:13.285609",196,,
295,"Pacific Islands Forum (PIF)",41,"2014-12-06 20:15:13.303246","2014-12-06 20:15:13.303246",197,,
121,"Bulgaria",29,"2014-12-06 20:15:10.489423","2014-12-06 20:15:10.489423",36,42.66667,25.25
122,"Croatia",29,"2014-12-06 20:15:10.498913","2014-12-06 20:15:10.498913",63,45.16667,15.5
123,"Cyprus",29,"2014-12-06 20:15:10.508656","2014-12-06 20:15:10.508656",66,35,33
125,"Czech Republic",29,"2014-12-06 20:15:10.52808","2014-12-06 20:15:10.52808",68,49.75,15
126,"Estonia",29,"2014-12-06 20:15:10.537654","2014-12-06 20:15:10.537654",82,59,26
127,"Hungary",29,"2014-12-06 20:15:10.547687","2014-12-06 20:15:10.547687",110,47,20
