"id","name","parent_id","created_at","updated_at","sort_order","latitude","longitude"
128,"Latvia",29,"2014-12-06 20:15:10.557512","2014-12-06 20:15:10.557512",142,57,25
129,"Lithuania",29,"2014-12-06 20:15:10.567458","2014-12-06 20:15:10.567458",148,55.41667,24
130,"Macedonia",29,"2014-12-06 20:15:10.577044","2014-12-06 20:15:10.577044",151,41.66667,21.75
296,"Regional Development Banks",41,"2014-12-06 20:15:13.320727","2014-12-06 20:15:13.320727",211,,
43,"United States",25,"2014-12-06 20:15:09.691027","2014-12-06 20:15:09.691027",279,39.76,-98.5
131,"Moldova",29,"2014-12-06 20:15:10.586728","2014-12-06 20:15:10.586728",165,47.25,28.58333
132,"Montenegro",29,"2014-12-06 20:15:10.596204","2014-12-06 20:15:10.596204",168,42.75,19.25
133,"Poland",29,"2014-12-06 20:15:10.698199","2014-12-06 20:15:10.698199",207,52,20
134,"Romania",29,"2014-12-06 20:15:10.711199","2014-12-06 20:15:10.711199",213,46,25
297,"Shanghai Cooperation Organization (SCO)",41,"2014-12-06 20:15:13.337961","2014-12-06 20:15:13.337961",229,,
27,"South America",21,"2014-12-06 20:15:09.536602","2014-12-06 20:15:09.536602",238,,
38,"South Asia",24,"2014-12-06 20:15:09.643207","2014-12-06 20:15:09.643207",239,,
298,"South Asian Association for Regional Cooperation (SAARC)",41,"2014-12-06 20:15:13.355777","2014-12-06 20:15:13.355777",240,,
39,"Southeast Asia",24,"2014-12-06 20:15:09.652911","2014-12-06 20:15:09.652911",241,,
34,"Southern Africa",23,"2014-12-06 20:15:09.605346","2014-12-06 20:15:09.605346",242,,
299,"Southern African Development Community (SADC)",41,"2014-12-06 20:15:13.373874","2014-12-06 20:15:13.373874",243,,
300,"Southern Cone Common Market (Mercosur/Mercosul)",41,"2014-12-06 20:15:13.392271","2014-12-06 20:15:13.392271",244,,
135,"Russia",29,"2014-12-06 20:15:10.726582","2014-12-06 20:15:10.726582",214,60,100
276,"The Commonwealth",41,"2014-12-06 20:15:12.969439","2014-12-06 20:15:12.969439",260,,
281,"The European Union (EU)",41,"2014-12-06 20:15:13.059698","2014-12-06 20:15:13.059698",261,,
40,"The Pacific",24,"2014-12-06 20:15:09.662639","2014-12-06 20:15:09.662639",262,,
136,"Serbia",29,"2014-12-06 20:15:10.748197","2014-12-06 20:15:10.748197",227,44.81892,20.45998
137,"Slovakia",29,"2014-12-06 20:15:10.765166","2014-12-06 20:15:10.765166",232,48.66667,19.5
312,"United Nations Eductional, Scientific, and Cultural Organization (UNESCO)",41,"2014-12-06 20:15:13.55948","2014-12-06 20:15:13.55948",276,,
313,"United Nations Industrial Development Organization (UNIDO)",41,"2014-12-06 20:15:13.569357","2014-12-06 20:15:13.569357",277,,
301,"United Nations (UN)",41,"2014-12-06 20:15:13.411034","2014-12-06 20:15:13.411034",278,,
138,"Slovenia",29,"2014-12-06 20:15:10.779118","2014-12-06 20:15:10.779118",233,46.08333,15
139,"Ukraine",29,"2014-12-06 20:15:10.796669","2014-12-06 20:15:10.796669",273,49,32
31,"West Africa",23,"2014-12-06 20:15:09.575824","2014-12-06 20:15:09.575824",289,,
28,"Western Europe",22,"2014-12-06 20:15:09.546569","2014-12-06 20:15:09.546569",290,,
317,"Western European Union (WEU)",41,"2014-12-06 20:15:13.609143","2014-12-06 20:15:13.609143",291,,
314,"World Health Organization (WHO)",41,"2014-12-06 20:15:13.57959","2014-12-06 20:15:13.57959",293,,
315,"World Intellectual Property Organization (WIPO)",41,"2014-12-06 20:15:13.589407","2014-12-06 20:15:13.589407",294,,
318,"World Trade Organization (WTO)",41,"2014-12-06 20:15:13.619036","2014-12-06 20:15:13.619036",295,,
21,"America",,"2014-12-06 20:15:09.365011","2014-12-06 20:15:09.365011",6,,
22,"Europe",,"2014-12-06 20:15:09.402902","2014-12-06 20:15:09.402902",84,,
23,"Africa",,"2014-12-06 20:15:09.412487","2014-12-06 20:15:09.412487",2,,
44,"Mexico",25,"2014-12-06 20:15:09.700679","2014-12-06 20:15:09.700679",162,23,-102
45,"Anguilla",26,"2014-12-06 20:15:09.71068","2014-12-06 20:15:09.71068",9,18.21667,-63.05
46,"Antigua and Barbuda",26,"2014-12-06 20:15:09.720493","2014-12-06 20:15:09.720493",10,17.05,-61.8
47,"Aruba",26,"2014-12-06 20:15:09.729993","2014-12-06 20:15:09.729993",14,12.5,-69.96667
48,"Bahamas",26,"2014-12-06 20:15:09.739804","2014-12-06 20:15:09.739804",21,25.04082,-77.37122
49,"Barbados",26,"2014-12-06 20:15:09.749026","2014-12-06 20:15:09.749026",24,13.16453,-59.55165
50,"Belize",26,"2014-12-06 20:15:09.758625","2014-12-06 20:15:09.758625",27,17.25,-88.75
51,"Bermuda",26,"2014-12-06 20:15:09.768403","2014-12-06 20:15:09.768403",29,32.33022,-64.74003
52,"Cayman Islands",26,"2014-12-06 20:15:09.778096","2014-12-06 20:15:09.778096",44,19.5,-80.66667
53,"Costa Rica",26,"2014-12-06 20:15:09.78782","2014-12-06 20:15:09.78782",60,10,-84
54,"Cuba",26,"2014-12-06 20:15:09.797729","2014-12-06 20:15:09.797729",64,22,-79.5
140,"Algeria",30,"2014-12-06 20:15:10.81101","2014-12-06 20:15:10.81101",5,28,3
55,"Curaçao",26,"2014-12-06 20:15:09.807523","2014-12-06 20:15:09.807523",65,12.16667,-68.96667
56,"Dominica",26,"2014-12-06 20:15:09.817203","2014-12-06 20:15:09.817203",71,15.5,-61.33333
57,"Dominican Republic",26,"2014-12-06 20:15:09.826784","2014-12-06 20:15:09.826784",72,19,-70.66667
58,"El Salvador",26,"2014-12-06 20:15:09.836328","2014-12-06 20:15:09.836328",79,13.83333,-88.91667
59,"Grenada",26,"2014-12-06 20:15:09.846499","2014-12-06 20:15:09.846499",97,12.11667,-61.66667
60,"Guadeloupe",26,"2014-12-06 20:15:09.856127","2014-12-06 20:15:09.856127",100,16.25,-61.58333
61,"Guatemala",26,"2014-12-06 20:15:09.865562","2014-12-06 20:15:09.865562",102,15.5,-90.25
62,"Haiti",26,"2014-12-06 20:15:09.87513","2014-12-06 20:15:09.87513",107,19,-72.41667
63,"Honduras",26,"2014-12-06 20:15:09.885123","2014-12-06 20:15:09.885123",108,15,-86.5
64,"Jamaica",26,"2014-12-06 20:15:09.89504","2014-12-06 20:15:09.89504",133,18.16667,-77.25
65,"Martinique",26,"2014-12-06 20:15:09.904741","2014-12-06 20:15:09.904741",159,14.66667,-61
66,"Montserrat",26,"2014-12-06 20:15:09.914641","2014-12-06 20:15:09.914641",169,16.75,-62.2
67,"Netherlands Antilles",26,"2014-12-06 20:15:09.924423","2014-12-06 20:15:09.924423",177,12.11721,-68.91964
68,"Nicaragua",26,"2014-12-06 20:15:09.934489","2014-12-06 20:15:09.934489",180,13,-85
69,"Panama",26,"2014-12-06 20:15:09.944177","2014-12-06 20:15:09.944177",201,9,-80
70,"Puerto Rico",26,"2014-12-06 20:15:09.953772","2014-12-06 20:15:09.953772",209,18.24829,-66.49989
71,"Saint Kitts and Nevis",26,"2014-12-06 20:15:09.963366","2014-12-06 20:15:09.963366",217,17.33333,-62.75
72,"Saint Lucia",26,"2014-12-06 20:15:09.973119","2014-12-06 20:15:09.973119",218,13.88333,-60.96667
73,"Saint Maarten",26,"2014-12-06 20:15:09.982969","2014-12-06 20:15:09.982969",219,18.04095,-63.1089
74,"Saint Vincent and the Grenadines",26,"2014-12-06 20:15:09.992769","2014-12-06 20:15:09.992769",220,13.08333,-61.2
75,"Trinidad and Tobago",26,"2014-12-06 20:15:10.002916","2014-12-06 20:15:10.002916",266,11,-61
76,"Turks and Caicos Islands",26,"2014-12-06 20:15:10.013208","2014-12-06 20:15:10.013208",270,21.73333,-71.58333
77,"Virgin Islands (British)",26,"2014-12-06 20:15:10.02383","2014-12-06 20:15:10.02383",286,18.5,-64.5
78,"Virgin Islands (U.S.)",26,"2014-12-06 20:15:10.03594","2014-12-06 20:15:10.03594",287,17.72751,-64.74698
79,"Argentina",27,"2014-12-06 20:15:10.046861","2014-12-06 20:15:10.046861",12,-34,-64
80,"Bolivia",27,"2014-12-06 20:15:10.057999","2014-12-06 20:15:10.057999",31,-17,-65
81,"Brazil",27,"2014-12-06 20:15:10.068459","2014-12-06 20:15:10.068459",34,-10,-55
82,"Chile",27,"2014-12-06 20:15:10.078565","2014-12-06 20:15:10.078565",51,-30,-71
83,"Colombia",27,"2014-12-06 20:15:10.088477","2014-12-06 20:15:10.088477",53,4,-73.25
84,"Ecuador",27,"2014-12-06 20:15:10.098649","2014-12-06 20:15:10.098649",77,-1.25,-78.25
85,"French Guiana",27,"2014-12-06 20:15:10.109174","2014-12-06 20:15:10.109174",90,4,-53
86,"Guyana",27,"2014-12-06 20:15:10.119199","2014-12-06 20:15:10.119199",106,5,-59
87,"Paraguay",27,"2014-12-06 20:15:10.129277","2014-12-06 20:15:10.129277",203,-23.33333,-58
88,"Peru",27,"2014-12-06 20:15:10.139377","2014-12-06 20:15:10.139377",204,-10,-75.25
89,"Suriname",27,"2014-12-06 20:15:10.149676","2014-12-06 20:15:10.149676",250,4,-56
141,"Libya",30,"2014-12-06 20:15:10.831239","2014-12-06 20:15:10.831239",146,28,17
142,"Morocco",30,"2014-12-06 20:15:10.848249","2014-12-06 20:15:10.848249",170,32,-6
143,"South Sudan",30,"2014-12-06 20:15:10.862329","2014-12-06 20:15:10.862329",246,7.5,30
144,"Sudan",30,"2014-12-06 20:15:10.882517","2014-12-06 20:15:10.882517",249,16,30
145,"Tunisia",30,"2014-12-06 20:15:10.900259","2014-12-06 20:15:10.900259",267,36.81897,10.16579
146,"Western Sahara",30,"2014-12-06 20:15:10.914377","2014-12-06 20:15:10.914377",292,24.49215,-12.65625
147,"Benin",31,"2014-12-06 20:15:10.931412","2014-12-06 20:15:10.931412",28,9.5,2.25
148,"Burkina Faso",31,"2014-12-06 20:15:10.941766","2014-12-06 20:15:10.941766",37,12.5,-1.66667
149,"Cape Verde",31,"2014-12-06 20:15:10.955423","2014-12-06 20:15:10.955423",42,16,-24
150,"Côte D'ivoire",31,"2014-12-06 20:15:10.97941","2014-12-06 20:15:10.97941",61,8,-5.5
151,"Gambia",31,"2014-12-06 20:15:11.000166","2014-12-06 20:15:11.000166",92,13.5,-15.5
152,"Ghana",31,"2014-12-06 20:15:11.01761","2014-12-06 20:15:11.01761",95,8.1,-1.2
153,"Guinea",31,"2014-12-06 20:15:11.031735","2014-12-06 20:15:11.031735",103,10.83333,-10.66667
154,"Guinea-Bissau",31,"2014-12-06 20:15:11.052611","2014-12-06 20:15:11.052611",104,12,-15
155,"Liberia",31,"2014-12-06 20:15:11.07008","2014-12-06 20:15:11.07008",145,6.5,-9.5
156,"Mali",31,"2014-12-06 20:15:11.080333","2014-12-06 20:15:11.080333",156,18,-2
157,"Mauritania",31,"2014-12-06 20:15:11.090578","2014-12-06 20:15:11.090578",160,20.25,-10.5
158,"Niger",31,"2014-12-06 20:15:11.100998","2014-12-06 20:15:11.100998",181,18,9
159,"Nigeria",31,"2014-12-06 20:15:11.111478","2014-12-06 20:15:11.111478",182,10,8
160,"Saint Helena",31,"2014-12-06 20:15:11.122174","2014-12-06 20:15:11.122174",216,-15.95,-5.7
161,"Senegal",31,"2014-12-06 20:15:11.132699","2014-12-06 20:15:11.132699",226,14.5,-14.25
162,"Sierra Leone",31,"2014-12-06 20:15:11.143616","2014-12-06 20:15:11.143616",230,8.5,-11.5
163,"Togo",31,"2014-12-06 20:15:11.154493","2014-12-06 20:15:11.154493",264,8.66667,1.08333
164,"Angola",32,"2014-12-06 20:15:11.16479","2014-12-06 20:15:11.16479",8,-12.5,18.5
165,"Cameroon",32,"2014-12-06 20:15:11.175145","2014-12-06 20:15:11.175145",40,6,12.5
166,"Central African Republic",32,"2014-12-06 20:15:11.185297","2014-12-06 20:15:11.185297",46,7,21
167,"Chad",32,"2014-12-06 20:15:11.195607","2014-12-06 20:15:11.195607",50,15,19
168,"Congo (Brazzaville)",32,"2014-12-06 20:15:11.206165","2014-12-06 20:15:11.206165",57,-4.26613,15.28318
169,"Congo Democratic Republic (Kinshasa)",32,"2014-12-06 20:15:11.216266","2014-12-06 20:15:11.216266",58,-2.5,23.5
170,"Equatorial Guinea",32,"2014-12-06 20:15:11.226496","2014-12-06 20:15:11.226496",80,1.7,10.5
171,"Gabon",32,"2014-12-06 20:15:11.236739","2014-12-06 20:15:11.236739",91,-1,11.75
172,"Sao Tome and Principe",32,"2014-12-06 20:15:11.246682","2014-12-06 20:15:11.246682",223,1,7
173,"Burundi",33,"2014-12-06 20:15:11.256473","2014-12-06 20:15:11.256473",38,-3.5,30
174,"Comoros",33,"2014-12-06 20:15:11.271258","2014-12-06 20:15:11.271258",56,-12.23333,44.44553
175,"Djibouti",33,"2014-12-06 20:15:11.288405","2014-12-06 20:15:11.288405",70,11.58901,43.14503
176,"Eritrea",33,"2014-12-06 20:15:11.298366","2014-12-06 20:15:11.298366",81,15,39
177,"Ethiopia",33,"2014-12-06 20:15:11.308431","2014-12-06 20:15:11.308431",83,9,39.5
178,"Kenya",33,"2014-12-06 20:15:11.318513","2014-12-06 20:15:11.318513",137,1,38
179,"Madagascar",33,"2014-12-06 20:15:11.328536","2014-12-06 20:15:11.328536",152,-20,47
180,"Malawi",33,"2014-12-06 20:15:11.33859","2014-12-06 20:15:11.33859",153,-13.5,34
181,"Mauritius",33,"2014-12-06 20:15:11.348523","2014-12-06 20:15:11.348523",161,-20.3,57.58333
182,"Mozambique",33,"2014-12-06 20:15:11.358965","2014-12-06 20:15:11.358965",171,-18.25,35
183,"Reunion",33,"2014-12-06 20:15:11.368868","2014-12-06 20:15:11.368868",212,-21.1,55.6
184,"Rwanda",33,"2014-12-06 20:15:11.379155","2014-12-06 20:15:11.379155",215,-2,30
185,"Seychelles",33,"2014-12-06 20:15:11.389133","2014-12-06 20:15:11.389133",228,-4.58333,55.66667
186,"Somalia",33,"2014-12-06 20:15:11.398927","2014-12-06 20:15:11.398927",235,6,48
187,"Somaliland",33,"2014-12-06 20:15:11.408736","2014-12-06 20:15:11.408736",236,8,45
188,"Tanzania",33,"2014-12-06 20:15:11.418784","2014-12-06 20:15:11.418784",258,-6,35
189,"Uganda",33,"2014-12-06 20:15:11.428668","2014-12-06 20:15:11.428668",272,1.25,32.5
190,"Zambia",33,"2014-12-06 20:15:11.438546","2014-12-06 20:15:11.438546",297,-14.33333,28.5
191,"Zimbabwe",33,"2014-12-06 20:15:11.448286","2014-12-06 20:15:11.448286",298,-19,29.75
192,"Botswana",34,"2014-12-06 20:15:11.458483","2014-12-06 20:15:11.458483",33,-22,24
193,"Lesotho",34,"2014-12-06 20:15:11.468294","2014-12-06 20:15:11.468294",144,-29.5,28.25
194,"Namibia",34,"2014-12-06 20:15:11.478629","2014-12-06 20:15:11.478629",173,-22,17
195,"South Africa",34,"2014-12-06 20:15:11.48836","2014-12-06 20:15:11.48836",237,-29,24
196,"Swaziland",34,"2014-12-06 20:15:11.498174","2014-12-06 20:15:11.498174",251,-26.5,31.5
197,"Bahrain",35,"2014-12-06 20:15:11.508182","2014-12-06 20:15:11.508182",22,26.03333,50.55
198,"Egypt",35,"2014-12-06 20:15:11.517639","2014-12-06 20:15:11.517639",78,27,30
199,"Iran",35,"2014-12-06 20:15:11.527173","2014-12-06 20:15:11.527173",128,32,53
200,"Iraq",35,"2014-12-06 20:15:11.536797","2014-12-06 20:15:11.536797",129,33,44
201,"Israel",35,"2014-12-06 20:15:11.546547","2014-12-06 20:15:11.546547",131,31.5,34.75
202,"Jordan",35,"2014-12-06 20:15:11.556167","2014-12-06 20:15:11.556167",135,31,36
203,"Kuwait",35,"2014-12-06 20:15:11.566202","2014-12-06 20:15:11.566202",139,29.5,47.75
204,"Lebanon",35,"2014-12-06 20:15:11.575878","2014-12-06 20:15:11.575878",143,33.83333,35.83333
205,"Oman",35,"2014-12-06 20:15:11.585619","2014-12-06 20:15:11.585619",191,21,57
206,"Palestine",35,"2014-12-06 20:15:11.59555","2014-12-06 20:15:11.59555",200,31.92157,35.20329
207,"Qatar",35,"2014-12-06 20:15:11.605783","2014-12-06 20:15:11.605783",210,25.5,51.25
208,"Saudi Arabia",35,"2014-12-06 20:15:11.617749","2014-12-06 20:15:11.617749",224,25,45
209,"Syria",35,"2014-12-06 20:15:11.628041","2014-12-06 20:15:11.628041",254,35,38
